                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88041,                0.43279,                  1.026,                0.97258,                 0.9697,                0.98857,                0.93984,                0.35207,                0.28592,                0.81737,               0.000505,               0.000505,               0.000505
                     37,                0.87602,                0.43108,                 1.0225,                 0.9744,                0.96715,                0.98751,                0.94075,                0.35142,                0.29913,                0.81937,             0.00049086,             0.00049086,             0.00049086
                     38,                0.88002,                0.43352,                 1.0242,                0.97655,                0.96683,                0.98916,                0.94733,                0.33583,                0.27995,                0.81918,             0.00047671,             0.00047671,             0.00047671
                     39,                 0.8667,                0.42588,                 1.0156,                0.97539,                0.96991,                0.98801,                0.93963,                0.35239,                0.28533,                0.81755,             0.00046257,             0.00046257,             0.00046257
                     40,                0.86438,                0.42294,                 1.0147,                0.96724,                0.97126,                0.98729,                0.93807,                0.36055,                0.29774,                0.81728,             0.00044843,             0.00044843,             0.00044843
                     41,                0.85118,                0.41879,                 1.0126,                0.97492,                0.97267,                0.98641,                0.93225,                0.36506,                0.28607,                0.81978,             0.00043429,             0.00043429,             0.00043429
                     42,                0.85237,                0.41529,                 1.0088,                0.97106,                0.96761,                0.98772,                0.94377,                0.34156,                0.28628,                0.81462,             0.00042014,             0.00042014,             0.00042014
                     43,                0.83341,                0.41172,                 1.0067,                0.97539,                0.96569,                0.98836,                 0.9484,                0.32723,                0.27666,                0.81183,               0.000406,               0.000406,               0.000406
                     44,                0.84783,                0.41331,                 1.0126,                0.97543,                0.97025,                0.98896,                0.94462,                0.34269,                0.27373,                0.81639,             0.00039186,             0.00039186,             0.00039186
                     45,                0.81874,                0.40044,                0.99868,                0.97331,                0.96818,                0.98712,                0.94657,                0.33424,                0.27768,                0.81601,             0.00037771,             0.00037771,             0.00037771
                     46,                0.83212,                0.40592,                 1.0038,                0.97709,                0.95989,                0.98514,                0.94338,                0.33649,                0.28191,                0.81239,             0.00036357,             0.00036357,             0.00036357
                     47,                 0.8366,                0.40965,                 1.0064,                 0.9706,                 0.9736,                0.98665,                0.94513,                0.32981,                0.26874,                0.81254,             0.00034943,             0.00034943,             0.00034943
                     48,                 0.8115,                0.39211,                0.99694,                0.97967,                0.96475,                 0.9881,                0.94585,                0.33416,                0.26394,                0.81892,             0.00033529,             0.00033529,             0.00033529
                     49,                0.81705,                0.39088,                0.99858,                0.96733,                0.97131,                0.98675,                0.94838,                0.32525,                0.27401,                0.81478,             0.00032114,             0.00032114,             0.00032114
                     50,                0.80713,                0.39609,                0.99562,                0.97363,                0.97078,                0.98768,                0.94839,                0.33279,                0.26783,                0.81286,               0.000307,               0.000307,               0.000307
                     51,                0.82082,                0.39954,                0.99396,                0.98076,                0.96302,                0.98626,                0.94145,                0.34167,                0.26979,                0.81177,             0.00029286,             0.00029286,             0.00029286
                     52,                0.79844,                0.38527,                0.98373,                0.97245,                0.96923,                0.98806,                 0.9465,                0.33326,                0.27348,                0.81379,             0.00027871,             0.00027871,             0.00027871
                     53,                0.78854,                0.38319,                0.98156,                0.96542,                0.97299,                0.98645,                0.94517,                0.33865,                0.27302,                0.81298,             0.00026457,             0.00026457,             0.00026457
                     54,                0.79765,                0.38183,                0.98529,                0.97384,                0.96779,                0.98707,                0.94421,                0.32613,                0.26923,                0.81083,             0.00025043,             0.00025043,             0.00025043
                     55,                0.79515,                0.37847,                0.98371,                 0.9715,                0.97091,                0.98401,                0.94337,                0.32539,                0.26817,                0.80907,             0.00023629,             0.00023629,             0.00023629
                     56,                0.76976,                0.37095,                0.97697,                0.96629,                0.97727,                0.98867,                0.94858,                0.33092,                0.25422,                0.80962,             0.00022214,             0.00022214,             0.00022214
                     57,                0.77868,                0.37304,                0.97551,                0.97531,                0.96929,                0.98889,                0.95029,                0.31649,                0.25239,                0.80911,               0.000208,               0.000208,               0.000208
                     58,                0.77071,                0.36756,                0.97598,                0.96635,                0.98054,                 0.9884,                0.95159,                0.32256,                0.25339,                 0.8083,             0.00019386,             0.00019386,             0.00019386
                     59,                0.76994,                0.37375,                0.97667,                0.97313,                0.97031,                0.98816,                0.94959,                0.32167,                0.25711,                0.80743,             0.00017971,             0.00017971,             0.00017971
                     60,                0.78061,                0.37195,                0.98289,                0.96947,                0.97632,                 0.9889,                0.95232,                0.32072,                0.24886,                0.80722,             0.00016557,             0.00016557,             0.00016557
